"subTR","meanTR","TsubTR","TmeanTR","ftsvdTR","TftsvdTR","Iter","Sig2E1","Sig2E2","SeedNumber","Tau","n","Grid","nFeat"
1.0026376273966,4.65958351469456,0.0756498843755513,4.55116949191648,5.80814975503877,5.72120639065887,1,1,NA,706,1,100,3,500
1.00209735792727,4.26692396239662,0.0792082533363728,4.14817497711373,5.64956892602797,5.56084223882683,2,1,NA,707,1,100,3,500
1.00458314094373,4.65047593971027,0.0914768230490088,4.542091800223,5.35199011117852,5.25822404903028,3,1,NA,708,1,100,3,500
1.13227984488274,3.81005123317925,0.53135274168123,3.67566064381423,5.48643857238772,5.39387307028317,4,1,NA,709,1,100,3,500
1.00261387740107,4.31445650955971,0.0688600049046774,4.19821692245472,5.70997736897481,5.62307194676868,5,1,NA,710,1,100,3,500
1.0208531938592,4.51905184509902,0.202758834604523,4.40663380748679,4.99774955428148,4.89532778973433,6,1,NA,711,1,100,3,500
1.23978259748387,4.69549886002218,0.732630714919018,4.58782520395964,5.99714274520504,5.91268947563168,7,1,NA,712,1,100,3,500
1.06929775334711,4.62702133538334,0.379961099701205,4.5175587515821,5.97632739743036,5.8927074991221,8,1,NA,713,1,100,3,500
1.00634718322167,3.93596248191784,0.115416212797356,3.80788030427311,5.40673164494026,5.31379030619724,9,1,NA,714,1,100,3,500
1.10321038417199,4.21690855113099,0.465528055295559,4.09667484826134,5.451059067689,5.35948185557871,10,1,NA,715,1,100,3,500
1.02956676307173,4.55862382052627,0.24438175620931,4.44688165457236,5.48864698749573,5.3960463296336,11,1,NA,716,1,100,3,500
1.01166659701207,4.39117562000136,0.156207973433044,4.27519220809928,5.65033802129513,5.56221902422772,12,1,NA,717,1,100,3,500
1.00872236256307,4.82815766812648,0.13186519997534,4.723401195796,5.6863530754252,5.59748216053496,13,1,NA,718,1,100,3,500
1.00531293530149,4.04051648953078,0.104448094473315,3.91496239583706,5.47729045804716,5.3848999345098,14,1,NA,719,1,100,3,500
1.00211884705244,4.84712123811252,0.0731211691770638,4.74270290384899,5.28776980942056,5.19251967191958,15,1,NA,720,1,100,3,500
1.00311248989553,4.29987195164104,0.0730103895623584,4.18137551732385,4.99162746455913,4.89061634260859,16,1,NA,721,1,100,3,500
1.0051493108049,4.7401310043424,0.0983382519044365,4.63356302803788,5.55765789284091,5.46695051770174,17,1,NA,722,1,100,3,500
1.00254811549471,4.63059042620481,0.0781716962508135,4.52185427080349,5.75215278997607,5.66544325110297,18,1,NA,723,1,100,3,500
1.00234466815971,4.56106134166889,0.0777331489417453,4.45087256683447,5.99724784727049,5.91360388043238,19,1,NA,724,1,100,3,500
1.00541371629329,4.10192045018517,0.0970411478246757,3.97847910538454,5.2564311489684,5.16013835105137,20,1,NA,725,1,100,3,500
1.01367917638317,4.30850220640286,0.167153034216756,4.1909575093759,4.85778343641266,4.75370218249608,21,1,NA,726,1,100,3,500
1.06863701456335,4.33474721437717,0.375604903718239,4.21808712870276,6.04832339836587,5.96516982289567,22,1,NA,727,1,100,3,500
1.00289411218902,4.29332937136085,0.0744132928370672,4.17581904849339,5.63375381076693,5.54506071828901,23,1,NA,728,1,100,3,500
1.00277559134646,4.36210313842017,0.0797758954590982,4.2451857531003,5.63792596269747,5.54802049399268,24,1,NA,729,1,100,3,500
1.00831362402031,5.05615370111386,0.126750086295783,4.95759447360348,5.98124631591233,5.89792230634055,25,1,NA,730,1,100,3,500
1.08442948480761,4.36190894639387,0.420200326231244,4.24625479275442,5.10496639112074,5.00644721065395,26,1,NA,731,1,100,3,500
1.00306602802921,3.83437294285524,0.078337387148505,3.70227833325351,4.75185720680727,4.6456049360306,27,1,NA,732,1,100,3,500
1.31801085242086,4.20243680997847,0.858382427511865,4.08200209438095,5.70339524370593,5.61437949387863,28,1,NA,733,1,100,3,500
1.00363937187513,4.43778473923764,0.0851691234181824,4.32340573642586,5.44323060838563,5.35031432917755,29,1,NA,734,1,100,3,500
1.00371297046553,4.22957663491133,0.0832359891997514,4.10896999536258,5.84410214247299,5.75739398639633,30,1,NA,735,1,100,3,500
1.00997711895189,4.6251362655611,0.142787535296613,4.51683228121413,5.86536397918722,5.77938449866024,31,1,NA,736,1,100,3,500
1.02671722301733,4.24462411682569,0.229936436070233,4.12514657056484,5.6743209114909,5.58503261604064,32,1,NA,737,1,100,3,500
1.00290537585412,4.72741342597106,0.0811771515672959,4.62094529493909,5.21406940556384,5.11745791321613,33,1,NA,738,1,100,3,500
1.00290639352937,4.41245134138529,0.085920785710401,4.29746797079368,5.92723852687755,5.84241120957911,34,1,NA,739,1,100,3,500
1.00611539858165,3.99966761551471,0.112524685491547,3.87265231944896,5.73381984011131,5.64568741449361,35,1,NA,740,1,100,3,500
1.03585747543001,5.05949763477714,0.272154596046651,4.95962893396238,5.67013969419828,5.58143586785302,36,1,NA,741,1,100,3,500
1.01914175263866,4.46547037407571,0.199409420256962,4.35057566396917,5.74338827821017,5.65531726577747,37,1,NA,742,1,100,3,500
1.00333520050933,4.04466449968237,0.081054688977819,3.91864467899411,5.23349365012004,5.13651018292863,38,1,NA,743,1,100,3,500
1.04804019902659,4.73201239022142,0.312980752876169,4.62531997847354,5.40638729937215,5.31300080023118,39,1,NA,744,1,100,3,500
1.0027835707244,4.18941036213887,0.079651699328093,4.06779799753409,5.59660486000137,5.50658248810839,40,1,NA,745,1,100,3,500
1.00387122283229,5.01723440999695,0.0838080624778803,4.91635192274726,5.9494193766588,5.86455108332289,41,1,NA,746,1,100,3,500
1.25527525687261,4.2258936189545,0.758191568572084,4.1060870206862,5.6545790383836,5.56466016667586,42,1,NA,747,1,100,3,500
1.24261763215187,4.50034783860776,0.736961791402762,4.3878585280084,4.98163770213661,4.88032172416669,43,1,NA,748,1,100,3,500
1.00379992966621,4.07547865699732,0.0946948822238968,3.95094715453465,5.89914189620464,5.81406105722858,44,1,NA,749,1,100,3,500
