"subTR","meanTR","TsubTR","TmeanTR","ftsvdTR","TftsvdTR","Iter","Sig2E1","Sig2E2","SeedNumber","Tau","n","Grid","nFeat"
1.0037892018107,3.74008261622138,0.0950589031539333,3.6045129035493,5.16486619821991,5.06792298703555,1,1,NA,706,1,100,3,500
1.04208840107841,3.49327444992477,0.292872616992208,3.34649141838548,4.79375127624656,4.6891462311018,2,1,NA,707,1,100,3,500
1.0017319759788,4.13874423945866,0.0532151302174571,4.01758711713813,5.41256147665517,5.32056573900529,3,1,NA,708,1,100,3,500
1.0037706672017,4.15960209523385,0.0945392727322825,4.0368832962103,5.24743084888183,5.15106438544399,4,1,NA,709,1,100,3,500
1.00153075071883,3.7228423615743,0.0502566657571669,3.58633637257293,4.78947612804609,4.68345559219535,5,1,NA,710,1,100,3,500
1.00238085987779,4.3663714300673,0.0634616422440353,4.25119200408566,5.08775057901114,4.98818212865137,6,1,NA,711,1,100,3,500
1.00194603349729,3.95038784035925,0.05291957010429,3.82159637492166,4.89184500428723,4.78856352456425,7,1,NA,712,1,100,3,500
1.06028497302589,3.56492449557223,0.353921239085984,3.42167485461519,5.01782662390716,4.91752918825796,8,1,NA,713,1,100,3,500
1.04566573987002,3.77857946275027,0.305940943442275,3.6450421364564,4.79783529515462,4.69222474771776,9,1,NA,714,1,100,3,500
1.00149668621378,3.55331346191788,0.0521785849863695,3.40995860720849,5.28353940762548,5.18909558468838,10,1,NA,715,1,100,3,500
1.00173419838779,4.53999626355004,0.057315902099578,4.42863164364869,5.13171069496647,5.03312524352154,11,1,NA,716,1,100,3,500
1.0013988187121,3.79559718461393,0.0550878301049935,3.6619659114646,4.32343459296727,4.20525208607043,12,1,NA,717,1,100,3,500
1.00184933278612,3.85547386988385,0.0603940909274348,3.7241060361516,5.34224999271143,5.24658392716652,13,1,NA,718,1,100,3,500
1.0013568509465,4.10573482500418,0.052392617191435,3.98275294902293,5.25952892121883,5.16463471672216,14,1,NA,719,1,100,3,500
1.03220219849581,4.39487045060505,0.254809621075126,4.27968893675679,5.27065659719845,5.17516634310124,15,1,NA,720,1,100,3,500
1.00130870541283,4.35020181975198,0.0558341408086821,4.23452435321787,5.31557959106834,5.22084043941874,16,1,NA,721,1,100,3,500
