"subTR","meanTR","TsubTR","TmeanTR","ftsvdTR","TftsvdTR","Iter","Sig2E1","Sig2E2","SeedNumber","Tau","n","Grid","nFeat"
1.21260934197339,3.6787270008078,0.68559823365399,3.54079662419755,9.26930220306105,9.2162890056643,1,1,NA,736,1,30,3,500
1.21931733867842,4.60140640124423,0.698068668168439,4.49188931037096,9.63978781498187,9.58791179862052,2,1,NA,737,1,30,3,500
1.06624385747249,4.06510363397818,0.371133425522116,3.93980361459402,9.48986518677433,9.43654277354498,3,1,NA,738,1,30,3,500
1.17056313649291,4.41071806456666,0.608828860576337,4.29596565817561,9.47076972687827,9.41758674961287,4,1,NA,739,1,30,3,500
1.00381748323297,3.73088084203048,0.0870798968858904,3.59475856467218,9.62738147102217,9.57514865126273,5,1,NA,740,1,30,3,500
1.0033139070396,4.02997792622733,0.0875641029700433,3.90382860061634,9.71539477028737,9.66354909500498,6,1,NA,741,1,30,3,500
1.00692028688021,3.91241659976246,0.115452693165022,3.78298569431204,9.11887901170641,9.06374424667529,7,1,NA,742,1,30,3,500
1.40007161577272,3.77661948624905,0.97951535907725,3.64161071133843,9.82443661255305,9.77274411639716,8,1,NA,743,1,30,3,500
1.02221412153934,4.06362787825605,0.215255632637011,3.93859931634387,9.09526447173277,9.04019097018352,9,1,NA,744,1,30,3,500
1.00319989409947,4.00654850001894,0.0839936367782535,3.88037871538681,9.39613031675732,9.34347162674801,10,1,NA,745,1,30,3,500
1.00538242808079,4.56830314284485,0.10178724795043,4.45711526095554,10.3675461505348,10.3188218423289,11,1,NA,746,1,30,3,500
1.00609672405786,3.55022702106317,0.112513159794735,3.4068548689433,9.62629990495576,9.57444470540899,12,1,NA,747,1,30,3,500
1.02350846723269,3.97947211246017,0.215643531284303,3.85142733763114,9.44357560255446,9.39021797487113,13,1,NA,748,1,30,3,500
1.01328132898674,3.59715319641597,0.161800428809043,3.45529829067228,10.2842493651072,10.2368341472594,14,1,NA,749,1,30,3,500
